       Value     Percentile TotalCount 1/(1-Percentile)

       4.000 0.000000000000        379           1.00
       6.000 0.100000000000      14991           1.11
       7.000 0.190000000000      23508           1.23
       9.000 0.271000000000      36475           1.37
      11.000 0.343900000000      42370           1.52
      13.000 0.409510000000      49145           1.69
      16.000 0.468559000000      56853           1.88
      19.000 0.521703100000      62185           2.09
      23.000 0.569532790000      67884           2.32
      27.000 0.612579511000      72890           2.58
      30.000 0.651321559900      76331           2.87
      35.000 0.686189403910      81172           3.19
      39.000 0.717570463519      84724           3.54
      41.000 0.745813417167      87407           3.93
      43.000 0.771232075450      91443           4.37
      44.000 0.794108867905      93962           4.86
      45.000 0.814697981115      96899           5.40
      46.000 0.833228183003      99547           6.00
      46.000 0.849905364703      99547           6.66
      47.000 0.864914828233     102024           7.40
      48.000 0.878423345409     104353           8.23
      48.000 0.890581010868     104353           9.14
      49.000 0.901522909782     106432          10.15
      50.000 0.911370618803     108239          11.28
      50.000 0.920233556923     108239          12.54
      51.000 0.928210201231     109537          13.93
      51.000 0.935389181108     109537          15.48
      52.000 0.941850262997     110565          17.20
      53.000 0.947665236697     111528          19.11
      53.000 0.952898713028     111528          21.23
      54.000 0.957608841725     112201          23.59
      55.000 0.961847957552     112751          26.21
      56.000 0.965663161797     113258          29.12
      57.000 0.969096845617     113770          32.36
      58.000 0.972187161056     114236          35.95
      58.000 0.974968444950     114236          39.95
      59.000 0.977471600455     114586          44.39
      60.000 0.979724440410     114896          49.32
      60.000 0.981751996369     114896          54.80
      61.000 0.983576796732     115151          60.89
      62.000 0.985219117059     115382          67.65
      63.000 0.986697205353     115612          75.17
      64.000 0.988027484817     115794          83.52
      64.000 0.989224736336     115794          92.81
      65.000 0.990302262702     115963         103.12
      66.000 0.991272036432     116100         114.57
      67.000 0.992144832789     116221         127.30
      67.000 0.992930349510     116221         141.45
      68.000 0.993637314559     116333         157.17
      69.000 0.994273583103     116429         174.63
      69.000 0.994846224793     116429         194.03
      70.000 0.995361602313     116505         215.59
      71.000 0.995825442082     116581         239.55
      72.000 0.996242897874     116672         266.16
      72.000 0.996618608086     116672         295.74
      72.000 0.996956747278     116672         328.60
      73.000 0.997261072550     116728         365.11
      74.000 0.997534965295     116791         405.67
      74.000 0.997781468766     116791         450.75
      75.000 0.998003321889     116827         500.83
      75.000 0.998202989700     116827         556.48
      76.000 0.998382690730     116875         618.31
      76.000 0.998544421657     116875         687.01
      76.000 0.998689979491     116875         763.35
      77.000 0.998820981542     116922         848.16
      77.000 0.998938883388     116922         942.40
      77.000 0.999044995049     116922        1047.11
      78.000 0.999140495544     116947        1163.46
      78.000 0.999226445990     116947        1292.73
      78.000 0.999303801391     116947        1436.37
      79.000 0.999373421252     116966        1595.97
      79.000 0.999436079127     116966        1773.30
      80.000 0.999492471214     116982        1970.33
      80.000 0.999543224093     116982        2189.26
      80.000 0.999588901683     116982        2432.51
      81.000 0.999630011515     116992        2702.79
      81.000 0.999667010363     116992        3003.10
      82.000 0.999700309327     117002        3336.77
      82.000 0.999730278394     117002        3707.53
      82.000 0.999757250555     117002        4119.47
      83.000 0.999781525499     117008        4577.19
      83.000 0.999803372950     117008        5085.77
      83.000 0.999823035655     117008        5650.86
      84.000 0.999840732089     117011        6278.73
      85.000 0.999856658880     117016        6976.37
      85.000 0.999870992992     117016        7751.52
      85.000 0.999883893693     117016        8612.80
      85.000 0.999895504324     117016        9569.77
      86.000 0.999905953891     117017       10633.08
      87.000 0.999915358502     117019       11814.54
      89.000 0.999923822652     117020       13127.26
      89.000 0.999931440387     117020       14585.85
      90.000 0.999938296348     117021       16206.50
      93.000 0.999944466713     117022       18007.22
     109.000 0.999950020042     117023       20008.02
     109.000 0.999955018038     117023       22231.13
     212.000 0.999959516234     117024       24701.26
     212.000 0.999963564611     117024       27445.84
     216.000 0.999967208150     117025       30495.38
     216.000 0.999970487335     117025       33883.76
     216.000 0.999973438601     117025       37648.62
     219.000 0.999976094741     117026       41831.80
     219.000 0.999978485267     117026       46479.78
     219.000 0.999980636740     117026       51644.20
     219.000 0.999982573066     117026       57382.44
     243.000 0.999984315760     117027       63758.27
     243.000 0.999985884184     117027       70842.52
     243.000 0.999987295765     117027       78713.91
     243.000 0.999988566189     117027       87459.90
     243.000 0.999989709570     117027       97177.67
     243.000 0.999990738613     117027      107975.19
     250.000 0.999991664752     117028      119972.43
     250.000 1.000000000000     117028
#[Mean    =       24.132, StdDeviation   =       17.514]
#[Max     =      250.000, TotalCount     =   117028.000]
#[Buckets =           12, SubBuckets     =         2048]

----------------------------------------------------------
 Requests/sec:     390.06756336641797
 Latency Median:     17
 Consistency Window Median:     45.0
  Inconsistencies:     117019
