       Value     Percentile TotalCount 1/(1-Percentile)

       7.000 0.000000000000         68           1.00
       8.000 0.100000000000       1089           1.11
       8.000 0.190000000000       1089           1.23
       8.000 0.271000000000       1089           1.37
       8.000 0.343900000000       1089           1.52
       9.000 0.409510000000       2945           1.69
       9.000 0.468559000000       2945           1.88
       9.000 0.521703100000       2945           2.09
       9.000 0.569532790000       2945           2.32
       9.000 0.612579511000       2945           2.58
       9.000 0.651321559900       2945           2.87
       9.000 0.686189403910       2945           3.19
       9.000 0.717570463519       2945           3.54
       9.000 0.745813417167       2945           3.93
       9.000 0.771232075450       2945           4.37
       9.000 0.794108867905       2945           4.86
       9.000 0.814697981115       2945           5.40
       9.000 0.833228183003       2945           6.00
       9.000 0.849905364703       2945           6.66
       9.000 0.864914828233       2945           7.40
       9.000 0.878423345409       2945           8.23
       9.000 0.890581010868       2945           9.14
       9.000 0.901522909782       2945          10.15
       9.000 0.911370618803       2945          11.28
       9.000 0.920233556923       2945          12.54
       9.000 0.928210201231       2945          13.93
       9.000 0.935389181108       2945          15.48
       9.000 0.941850262997       2945          17.20
       9.000 0.947665236697       2945          19.11
       9.000 0.952898713028       2945          21.23
       9.000 0.957608841725       2945          23.59
       9.000 0.961847957552       2945          26.21
       9.000 0.965663161797       2945          29.12
       9.000 0.969096845617       2945          32.36
       9.000 0.972187161056       2945          35.95
       9.000 0.974968444950       2945          39.95
       9.000 0.977471600455       2945          44.39
       9.000 0.979724440410       2945          49.32
      10.000 0.981751996369       2974          54.80
      10.000 0.983576796732       2974          60.89
      10.000 0.985219117059       2974          67.65
      10.000 0.986697205353       2974          75.17
      10.000 0.988027484817       2974          83.52
      10.000 0.989224736336       2974          92.81
      10.000 0.990302262702       2974         103.12
      11.000 0.991272036432       2978         114.57
      11.000 0.992144832789       2978         127.30
      12.000 0.992930349510       2983         141.45
      12.000 0.993637314559       2983         157.17
      13.000 0.994273583103       2986         174.63
      13.000 0.994846224793       2986         194.03
      15.000 0.995361602313       2990         215.59
      15.000 0.995825442082       2990         239.55
      15.000 0.996242897874       2990         266.16
      16.000 0.996618608086       2993         295.74
      16.000 0.996956747278       2993         328.60
      16.000 0.997261072550       2993         365.11
      17.000 0.997534965295       2995         405.67
      17.000 0.997781468766       2995         450.75
      18.000 0.998003321889       2996         500.83
      18.000 0.998202989700       2996         556.48
      19.000 0.998382690730       3000         618.31
      19.000 0.998544421657       3000         687.01
      19.000 0.998689979491       3000         763.35
      19.000 0.998820981542       3000         848.16
      19.000 0.998938883388       3000         942.40
      19.000 0.999044995049       3000        1047.11
      19.000 0.999140495544       3000        1163.46
      19.000 0.999226445990       3000        1292.73
      19.000 0.999303801391       3000        1436.37
      19.000 0.999373421252       3000        1595.97
      19.000 0.999436079127       3000        1773.30
      19.000 0.999492471214       3000        1970.33
      19.000 0.999543224093       3000        2189.26
      19.000 0.999588901683       3000        2432.51
      19.000 0.999630011515       3000        2702.79
      20.000 0.999667010363       3001        3003.10
      20.000 1.000000000000       3001
#[Mean    =        8.676, StdDeviation   =        0.844]
#[Max     =       20.000, TotalCount     =     3001.000]
#[Buckets =           12, SubBuckets     =         2048]

----------------------------------------------------------
 Requests/sec:     10.00306658489107
 Latency Median:     9
 Consistency Window Median:     4.0
  Inconsistencies:     0
