       Value     Percentile TotalCount 1/(1-Percentile)

       2.000 0.000000000000       1181           1.00
       2.000 0.100000000000       1181           1.11
       2.000 0.190000000000       1181           1.23
       2.000 0.271000000000       1181           1.37
       2.000 0.343900000000       1181           1.52
       3.000 0.409510000000       1813           1.69
       3.000 0.468559000000       1813           1.88
       3.000 0.521703100000       1813           2.09
       3.000 0.569532790000       1813           2.32
       4.000 0.612579511000       1877           2.58
       6.000 0.651321559900       1979           2.87
       8.000 0.686189403910       2188           3.19
       8.000 0.717570463519       2188           3.54
       9.000 0.745813417167       2647           3.93
       9.000 0.771232075450       2647           4.37
       9.000 0.794108867905       2647           4.86
       9.000 0.814697981115       2647           5.40
       9.000 0.833228183003       2647           6.00
       9.000 0.849905364703       2647           6.66
       9.000 0.864914828233       2647           7.40
       9.000 0.878423345409       2647           8.23
      10.000 0.890581010868       3003           9.14
      10.000 0.901522909782       3003          10.15
      10.000 0.911370618803       3003          11.28
      10.000 0.920233556923       3003          12.54
      10.000 0.928210201231       3003          13.93
      10.000 0.935389181108       3003          15.48
      10.000 0.941850262997       3003          17.20
      10.000 0.947665236697       3003          19.11
      10.000 0.952898713028       3003          21.23
      10.000 0.957608841725       3003          23.59
      10.000 0.961847957552       3003          26.21
      10.000 0.965663161797       3003          29.12
      10.000 0.969096845617       3003          32.36
      10.000 0.972187161056       3003          35.95
      10.000 0.974968444950       3003          39.95
      10.000 0.977471600455       3003          44.39
      10.000 0.979724440410       3003          49.32
      10.000 0.981751996369       3003          54.80
      10.000 0.983576796732       3003          60.89
      10.000 0.985219117059       3003          67.65
      10.000 0.986697205353       3003          75.17
      10.000 0.988027484817       3003          83.52
      10.000 0.989224736336       3003          92.81
      10.000 0.990302262702       3003         103.12
      10.000 0.991272036432       3003         114.57
      10.000 0.992144832789       3003         127.30
      10.000 0.992930349510       3003         141.45
      10.000 0.993637314559       3003         157.17
      10.000 0.994273583103       3003         174.63
      10.000 0.994846224793       3003         194.03
      10.000 0.995361602313       3003         215.59
      10.000 0.995825442082       3003         239.55
      10.000 0.996242897874       3003         266.16
      10.000 0.996618608086       3003         295.74
      10.000 0.996956747278       3003         328.60
      10.000 0.997261072550       3003         365.11
      11.000 0.997534965295       3011         405.67
      11.000 1.000000000000       3011
#[Mean    =        4.803, StdDeviation   =        3.221]
#[Max     =       11.000, TotalCount     =     3011.000]
#[Buckets =           12, SubBuckets     =         2048]

----------------------------------------------------------
 Requests/sec:     10.036332122262591
Latency Median:     3
  Consistency Window Median:     1
  Inconsistencies:     3011
