       Value     Percentile TotalCount 1/(1-Percentile)

     119.000 0.000000000000          1           1.00
     124.000 0.100000000000        440           1.11
     125.000 0.190000000000        575           1.23
     128.000 0.271000000000        823           1.37
     130.000 0.343900000000       1057           1.52
     131.000 0.409510000000       1264           1.69
     132.000 0.468559000000       1502           1.88
     133.000 0.521703100000       1719           2.09
     133.000 0.569532790000       1719           2.32
     134.000 0.612579511000       1946           2.58
     135.000 0.651321559900       2189           2.87
     135.000 0.686189403910       2189           3.19
     135.000 0.717570463519       2189           3.54
     136.000 0.745813417167       2411           3.93
     136.000 0.771232075450       2411           4.37
     136.000 0.794108867905       2411           4.86
     137.000 0.814697981115       2578           5.40
     137.000 0.833228183003       2578           6.00
     137.000 0.849905364703       2578           6.66
     138.000 0.864914828233       2695           7.40
     138.000 0.878423345409       2695           8.23
     138.000 0.890581010868       2695           9.14
     139.000 0.901522909782       2766          10.15
     139.000 0.911370618803       2766          11.28
     139.000 0.920233556923       2766          12.54
     140.000 0.928210201231       2805          13.93
     141.000 0.935389181108       2839          15.48
     141.000 0.941850262997       2839          17.20
     142.000 0.947665236697       2869          19.11
     142.000 0.952898713028       2869          21.23
     143.000 0.957608841725       2894          23.59
     143.000 0.961847957552       2894          26.21
     144.000 0.965663161797       2909          29.12
     144.000 0.969096845617       2909          32.36
     145.000 0.972187161056       2919          35.95
     146.000 0.974968444950       2931          39.95
     147.000 0.977471600455       2943          44.39
     147.000 0.979724440410       2943          49.32
     148.000 0.981751996369       2948          54.80
     149.000 0.983576796732       2951          60.89
     150.000 0.985219117059       2956          67.65
     152.000 0.986697205353       2962          75.17
     154.000 0.988027484817       2968          83.52
     154.000 0.989224736336       2968          92.81
     155.000 0.990302262702       2971         103.12
     158.000 0.991272036432       2975         114.57
     160.000 0.992144832789       2977         127.30
     164.000 0.992930349510       2979         141.45
     255.000 0.993637314559       2982         157.17
     256.000 0.994273583103       2983         174.63
     263.000 0.994846224793       2985         194.03
     264.000 0.995361602313       2987         215.59
     266.000 0.995825442082       2989         239.55
     266.000 0.996242897874       2989         266.16
     268.000 0.996618608086       2990         295.74
     269.000 0.996956747278       2992         328.60
     269.000 0.997261072550       2992         365.11
     270.000 0.997534965295       2993         405.67
     271.000 0.997781468766       2994         450.75
     272.000 0.998003321889       2995         500.83
     272.000 0.998202989700       2995         556.48
     273.000 0.998382690730       2996         618.31
     273.000 0.998544421657       2996         687.01
     274.000 0.998689979491       2998         763.35
     274.000 0.998820981542       2998         848.16
     274.000 0.998938883388       2998         942.40
     274.000 0.999044995049       2998        1047.11
     274.000 0.999140495544       2998        1163.46
     274.000 0.999226445990       2998        1292.73
     274.000 0.999303801391       2998        1436.37
     275.000 0.999373421252       2999        1595.97
     275.000 0.999436079127       2999        1773.30
     275.000 0.999492471214       2999        1970.33
     275.000 0.999543224093       2999        2189.26
     275.000 0.999588901683       2999        2432.51
     275.000 0.999630011515       2999        2702.79
     281.000 0.999667010363       3000        3003.10
     281.000 1.000000000000       3000
#[Mean    =      132.876, StdDeviation   =       12.573]
#[Max     =      281.000, TotalCount     =     3000.000]
#[Buckets =           12, SubBuckets     =         2048]

----------------------------------------------------------
 Requests/sec:     99.84856587226221
Latency Median:     132
  Consistency Window Median:     1.0
  Inconsistencies:     181
