       Value     Percentile TotalCount 1/(1-Percentile)

       4.000 0.000000000000        153           1.00
       5.000 0.100000000000      13193           1.11
       5.000 0.190000000000      13193           1.23
       5.000 0.271000000000      13193           1.37
       5.000 0.343900000000      13193           1.52
       5.000 0.409510000000      13193           1.69
       6.000 0.468559000000      24891           1.88
       6.000 0.521703100000      24891           2.09
       6.000 0.569532790000      24891           2.32
       6.000 0.612579511000      24891           2.58
       6.000 0.651321559900      24891           2.87
       6.000 0.686189403910      24891           3.19
       6.000 0.717570463519      24891           3.54
       6.000 0.745813417167      24891           3.93
       6.000 0.771232075450      24891           4.37
       6.000 0.794108867905      24891           4.86
       6.000 0.814697981115      24891           5.40
       7.000 0.833228183003      29891           6.00
       7.000 0.849905364703      29891           6.66
       7.000 0.864914828233      29891           7.40
       7.000 0.878423345409      29891           8.23
       7.000 0.890581010868      29891           9.14
       7.000 0.901522909782      29891          10.15
       7.000 0.911370618803      29891          11.28
       7.000 0.920233556923      29891          12.54
       7.000 0.928210201231      29891          13.93
       7.000 0.935389181108      29891          15.48
       7.000 0.941850262997      29891          17.20
       7.000 0.947665236697      29891          19.11
       7.000 0.952898713028      29891          21.23
       7.000 0.957608841725      29891          23.59
       7.000 0.961847957552      29891          26.21
       7.000 0.965663161797      29891          29.12
       7.000 0.969096845617      29891          32.36
       7.000 0.972187161056      29891          35.95
       7.000 0.974968444950      29891          39.95
       7.000 0.977471600455      29891          44.39
       7.000 0.979724440410      29891          49.32
       7.000 0.981751996369      29891          54.80
       7.000 0.983576796732      29891          60.89
       7.000 0.985219117059      29891          67.65
       7.000 0.986697205353      29891          75.17
       7.000 0.988027484817      29891          83.52
       7.000 0.989224736336      29891          92.81
       7.000 0.990302262702      29891         103.12
       7.000 0.991272036432      29891         114.57
       7.000 0.992144832789      29891         127.30
       7.000 0.992930349510      29891         141.45
       7.000 0.993637314559      29891         157.17
       7.000 0.994273583103      29891         174.63
       7.000 0.994846224793      29891         194.03
       7.000 0.995361602313      29891         215.59
       7.000 0.995825442082      29891         239.55
       8.000 0.996242897874      29933         266.16
       8.000 0.996618608086      29933         295.74
       8.000 0.996956747278      29933         328.60
       8.000 0.997261072550      29933         365.11
       9.000 0.997534965295      29953         405.67
       9.000 0.997781468766      29953         450.75
       9.000 0.998003321889      29953         500.83
      10.000 0.998202989700      29970         556.48
      10.000 0.998382690730      29970         618.31
      10.000 0.998544421657      29970         687.01
      11.000 0.998689979491      29980         763.35
      11.000 0.998820981542      29980         848.16
      11.000 0.998938883388      29980         942.40
      12.000 0.999044995049      29987        1047.11
      12.000 0.999140495544      29987        1163.46
      12.000 0.999226445990      29987        1292.73
      13.000 0.999303801391      29995        1436.37
      13.000 0.999373421252      29995        1595.97
      13.000 0.999436079127      29995        1773.30
      13.000 0.999492471214      29995        1970.33
      14.000 0.999543224093      29998        2189.26
      14.000 0.999588901683      29998        2432.51
      15.000 0.999630011515      30001        2702.79
      15.000 0.999667010363      30001        3003.10
      29.000 0.999700309327      30002        3336.77
      29.000 0.999730278394      30002        3707.53
      30.000 0.999757250555      30003        4119.47
      33.000 0.999781525499      30005        4577.19
      33.000 0.999803372950      30005        5085.77
      33.000 0.999823035655      30005        5650.86
      35.000 0.999840732089      30006        6278.73
      35.000 0.999856658880      30006        6976.37
      36.000 0.999870992992      30007        7751.52
      36.000 0.999883893693      30007        8612.80
      36.000 0.999895504324      30007        9569.77
      38.000 0.999905953891      30008       10633.08
      38.000 0.999915358502      30008       11814.54
      38.000 0.999923822652      30008       13127.26
      38.000 0.999931440387      30008       14585.85
      41.000 0.999938296348      30009       16206.50
      41.000 0.999944466713      30009       18007.22
      41.000 0.999950020042      30009       20008.02
      41.000 0.999955018038      30009       22231.13
      41.000 0.999959516234      30009       24701.26
      41.000 0.999963564611      30009       27445.84
      42.000 0.999967208150      30010       30495.38
      42.000 1.000000000000      30010
#[Mean    =        5.744, StdDeviation   =        0.940]
#[Max     =       42.000, TotalCount     =    30010.000]
#[Buckets =           12, SubBuckets     =         2048]

----------------------------------------------------------
 Requests/sec:     100.03123267901422
 Latency Median:     6
 Consistency Window Median:     2.0
  Inconsistencies:     30010
