       Value     Percentile TotalCount 1/(1-Percentile)

       2.000 0.000000000000         97           1.00
       2.000 0.100000000000         97           1.11
       2.000 0.190000000000         97           1.23
       2.000 0.271000000000         97           1.37
       2.000 0.343900000000         97           1.52
       2.000 0.409510000000         97           1.69
       2.000 0.468559000000         97           1.88
       4.000 0.521703100000        107           2.09
       6.000 0.569532790000        141           2.32
       6.000 0.612579511000        141           2.58
       6.000 0.651321559900        141           2.87
       6.000 0.686189403910        141           3.19
       7.000 0.717570463519        163           3.54
       7.000 0.745813417167        163           3.93
       7.000 0.771232075450        163           4.37
       7.000 0.794108867905        163           4.86
       8.000 0.814697981115        190           5.40
       8.000 0.833228183003        190           6.00
       8.000 0.849905364703        190           6.66
       8.000 0.864914828233        190           7.40
       8.000 0.878423345409        190           8.23
       8.000 0.890581010868        190           9.14
       8.000 0.901522909782        190          10.15
       8.000 0.911370618803        190          11.28
       8.000 0.920233556923        190          12.54
       8.000 0.928210201231        190          13.93
       8.000 0.935389181108        190          15.48
       9.000 0.941850262997        197          17.20
       9.000 0.947665236697        197          19.11
       9.000 0.952898713028        197          21.23
       9.000 0.957608841725        197          23.59
       9.000 0.961847957552        197          26.21
       9.000 0.965663161797        197          29.12
       9.000 0.969096845617        197          32.36
       9.000 0.972187161056        197          35.95
       9.000 0.974968444950        197          39.95
      10.000 0.977471600455        200          44.39
      10.000 0.979724440410        200          49.32
      10.000 0.981751996369        200          54.80
      10.000 0.983576796732        200          60.89
      10.000 0.985219117059        200          67.65
      10.000 0.986697205353        200          75.17
      10.000 0.988027484817        200          83.52
      10.000 0.989224736336        200          92.81
      11.000 0.990302262702        201         103.12
      11.000 0.991272036432        201         114.57
      11.000 0.992144832789        201         127.30
      11.000 0.992930349510        201         141.45
      11.000 0.993637314559        201         157.17
      11.000 0.994273583103        201         174.63
      11.000 0.994846224793        201         194.03
      48.000 0.995361602313        202         215.59
      48.000 1.000000000000        202
#[Mean    =        4.693, StdDeviation   =        4.050]
#[Max     =       48.000, TotalCount     =      202.000]
#[Buckets =           12, SubBuckets     =         2048]

----------------------------------------------------------
 Requests/sec:     20.18385291766587
Latency Median:     3
  Consistency Window Median:     0.0
  Inconsistencies:     406
